,number,value,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state,n_clusters
803,803,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.276352004526435,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
806,806,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.639546923352851,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
808,808,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.99414620125259,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
811,811,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.393631472059116,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
812,812,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.64268893473365,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
816,816,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.213909040581257,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
818,818,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.998227933112029,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
822,822,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.308634513425115,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
824,824,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.842052456707393,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
825,825,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.5519481038044,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
827,827,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.346116778828105,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
832,832,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.718973712822113,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
844,844,0.9532357462135064,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.784874671162669,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
849,849,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.129684273964108,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
861,861,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,8.957125735276945,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
865,865,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.68123721983561,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
871,871,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.437044758365928,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
876,876,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.351656035390558,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
878,878,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.845042534803625,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
888,888,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.68167968877431,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
889,889,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,2.3679054563721014,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
896,896,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.114153379406789,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
572,572,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,9.765906754510665,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
573,573,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,9.81275044771392,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
574,574,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.879648760871567,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
576,576,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,9.784278724025972,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
577,577,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.752979094169367,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
583,583,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,5.012231474363235,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
589,589,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.680243167075044,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
591,591,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,5.071827089448427,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
593,593,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.686267462588022,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
595,595,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.379456655621774,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
598,598,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.508699213780393,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
600,600,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.63296410773385,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
603,603,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.731009705365674,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
607,607,0.9518219362694044,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,2.0,4.349389761241472,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,3.0
